Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
2014 EQ12,2014 EQ12,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.638,0.7442,11.01,177.94,92.42,238.94,0.207,21.1,,,,1560,4.27,18.4,4.6,0.67,8.49,
2012 MJ6,2012 MJ6,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.823,0.4897,9.22,82.34,127.09,262.44,0.207,21.1,,,,899,2.46,22.06,2.72,0.93,,
2016 NL56,2016 NL56,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.407,0.5448,4.6,340.93,87.41,279.49,0.227,20.9,,,,609,1.67,25.13,2.17,0.64,,
67381 (2000 OL8),67381,2000 OL8,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.321,0.5429,10.67,294.95,266.8,336.14,0.376,19.8,,,,554,1.52,25.94,2.04,0.6,,
2016 BD15,2016 BD15,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.467,0.3112,35.55,303.26,203.34,0.9,0.197,21.2,,,,649,1.78,24.59,1.92,1.01,,
2015 RP82,2015 RP82,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.468,0.6204,24.76,193.76,36.1,219.97,0.413,19.6,,,,1420,3.89,18.91,4,0.94,,
2018 JA,2018 JA,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.421,0.2969,28.15,63.52,197.83,288.32,0.273,20.5,,,,619,1.7,24.97,1.84,1,,
2013 WF108,2013 WF108,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.993,0.5744,23.45,238.98,309.03,201.92,0.299,20.3,,,,1030,2.82,21.05,3.14,0.85,7.37,
2019 FH,2019 FH,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.528,0.7741,3.85,255.19,152.3,103.17,0.313,20.2,,,,690,1.89,24.09,2.71,0.35,,
2017 TK1,2017 TK1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.243,0.5684,9.93,354.47,355.47,45.5,0.217,21,,,,1230,3.37,19.84,3.52,0.97,,
2014 KB91,2014 KB91,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.331,0.5766,4.94,201.87,127.1,339.11,0.307,20.24,,,,1300,3.56,19.51,3.68,0.99,,
447755 (2007 JX2),447755,2007 JX2,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.709,0.5264,4.22,44.41,87.82,148.95,0.394,19.7,,,,816,2.24,22.78,2.61,0.81,,
2004 LB,2004 LB,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.051,0.0529,37.33,254.02,144.71,159.17,0.164,21.6,,,,394,1.08,29.02,1.11,1,,
2010 CN44,2010 CN44,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building ,తిరుమల కొండ అంత ,1,1,2459396.5,2.859,0.6741,3.85,189.09,303.75,128.8,0.34,19.6,0.185,,,1770,4.85,17.57,4.79,0.93,,
2015 RA36,2015 RA36,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.603,0.6419,34.51,156.11,157.62,146.15,0.359,19.9,,,,1530,4.19,18.51,4.27,0.93,,
196625 (2003 RM10),196625,2003 RM10,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.847,0.5916,13.73,341.32,287.28,54.38,0.313,20.2,,,,917,2.51,21.91,2.94,0.75,,
455176 (1999 VF22),455176,1999 VF22,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.313,0.7386,3.91,3.4,271.82,174.48,0.249,20.7,,,,549,1.5,26.02,2.28,0.34,,
2007 FT3,2007 FT3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2454180.5,1.13,0.3078,26.87,9.89,277.18,297.96,0.343,20,,,,439,1.2,28,1.48,0.78,,
2007 JH22,2007 JH22,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.181,0.6074,5.58,150.9,22.77,152.93,0.157,21.7,,,,1180,3.23,20.11,3.51,0.86,,
2012 UZ33,2012 UZ33,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.229,0.5807,3.36,85.91,224.77,252.48,0.496,19.2,,,,1220,3.34,19.88,3.52,0.93,,
337075 (1998 QC1),337075,1998 QC1,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.984,0.5896,9.65,308.38,115.43,36.96,0.389,19.73,,,,1020,2.79,21.16,3.15,0.81,,
2016 LV47,2016 LV47,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field ,క్రికెట్ మైదానం అంత ,1,1,2457551.5,1.786,0.8634,15.19,92.15,317.15,339,0.237,20.01,0.314,,,872,2.39,22.28,3.33,0.24,,
141525 (2002 FV5),141525,2002 FV5,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.087,0.7246,34.03,38.85,308.1,284.02,0.827,18.09,,,,414,1.13,28.56,1.87,0.3,14.45,
2019 WD5,2019 WD5,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.629,0.5433,4.75,312.19,228.1,234.67,0.15,21.8,,,,759,2.08,23.35,2.51,0.74,,
154590 (2003 MA3),154590,2003 MA3,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller ,బస్సు అంత ,1,1,2459396.5,1.105,0.4021,1.42,152.67,228.85,115.64,0.086,21.7,0.53,,,424,1.16,28.35,1.55,0.66,,
2004 MX2,2004 MX2,,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon ,తెలంగాణ సచివాలయం అంత ,1,1,2459396.5,2.763,0.7186,18.1,116.2,243.68,235.5,1.258,19.3,0.021,,,1680,4.6,17.89,4.75,0.78,,
1998 HH49,1998 HH49,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.551,0.5024,8.42,23.48,287.89,316.73,0.189,21.3,,,,705,1.93,23.93,2.33,0.77,,
179806 (2002 TD66),179806,2002 TD66,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.857,0.535,4.93,335.56,125.88,111.78,0.313,20.2,,,,924,2.53,21.86,2.85,0.86,9.46,
2003 SK84,2003 SK84,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.536,0.7428,8.95,344.1,118.33,130.75,0.197,21.2,,,,1470,4.03,18.77,4.42,0.65,,
2008 SY148,2008 SY148,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2454741.5,1.25,0.1932,28.76,187.29,164.32,13.42,0.15,21.8,,,,510,1.4,26.66,1.49,1.01,,
2021 RR23,2021 RR23,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459470.5,2.487,0.6011,31,254.56,16.43,17.85,0.273,20.5,,,,1430,3.92,18.92,3.98,0.99,,
2013 VO5,2013 VO5,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.28,0.6908,2.02,74,211.09,137.37,0.189,21.3,,,,529,1.45,26.32,2.16,0.4,,
2014 HK129,2014 HK129,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.705,0.4906,6.69,93.97,45.01,106.05,0.207,21.1,,,,813,2.23,22.82,2.54,0.87,10,
2017 VV14,2017 VV14,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.239,0.8454,15.9,78.01,234.68,54.22,0.717,18.4,,,,1220,3.34,19.97,4.13,0.35,,
2017 MH7,2017 MH7,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2457932.5,2.417,0.7314,14.02,96.04,282.52,343.34,0.172,21.5,,,,1370,3.75,19.19,4.18,0.65,,
2017 JD3,2017 JD3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.364,0.6196,14.04,229.8,51.3,37.99,0.154,21.74,,,,1330,3.64,19.34,3.83,0.9,,
2004 RY10,2004 RY10,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.677,0.6227,15.52,165.71,283.47,233.77,0.207,21.1,,,,794,2.18,22.98,2.72,0.63,,
2006 TA8,2006 TA8,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2454024.5,2.994,0.6944,21.74,208.04,217.95,354.18,0.227,20.9,,,,1890,5.18,17.23,5.07,0.91,,
2019 YX6,2019 YX6,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2458843.5,3.504,0.8913,1.85,317.98,18.2,7.38,0.143,21.9,,,,2400,6.58,15.88,6.63,0.38,,
2016 AZ8,2016 AZ8,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field ,క్రికెట్ మైదానం అంత ,1,1,2459396.5,1.321,0.3549,5.59,90.01,318.51,256.6,0.215,21.1,0.138,,,554,1.52,25.94,1.79,0.85,16.9,
2017 VJ1,2017 VJ1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2458069.5,1.705,0.6023,26.13,63.39,72.45,329.14,0.164,21.6,,,,813,2.23,22.82,2.73,0.68,,
2005 UW6,2005 UW6,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.047,0.741,0.91,334.53,180.79,107.91,0.15,21.8,,,,1070,2.93,20.81,3.56,0.53,,
453729 (2011 BO24),453729,2011 BO24,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.381,0.2779,20.37,91.49,178.63,28.48,0.585,18.84,,,,593,1.62,25.34,1.76,1,,
526670 (2006 UL217),526670,2006 UL217,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.43,0.3487,9.92,45.19,310.1,227.29,0.237,20.8,,,,625,1.71,24.89,1.93,0.93,,
2016 BP14,2016 BP14,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field ,క్రికెట్ మైదానం అంత ,1,1,2459396.5,2.89,0.7537,1.98,165.07,228.25,48.88,0.285,21.05,0.072,,,1790,4.9,17.56,5.07,0.71,,
2019 BC1,2019 BC1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.531,0.6351,17.76,118.21,328.8,227.98,0.299,20.3,,,,1470,4.03,18.73,4.14,0.92,,
2017 AY13,2017 AY13,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.96,0.5566,5.74,181.94,224.25,248.35,0.172,21.5,,,,1000,2.74,21.32,3.05,0.87,,
194268 (2001 UY4),194268,2001 UY4,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon ,తెలంగాణ సచివాలయం అంత ,1,1,2459396.5,1.453,0.7874,5.44,160.75,107.76,116.71,1.244,18.2,0.055,,X,640,1.75,24.7,2.6,0.31,6.8,"iron, nickel, and cobalt."
140039 (2001 SO73),140039,2001 SO73,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.82,0.5688,4.86,197.2,30.9,99.84,0.801,18.16,,,,897,2.46,22.07,2.86,0.78,,
2063 Bacchus (1977 HB),2063 బచ్చుస్,1977 HB,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,0,2459396.5,1.078,0.3494,9.43,33.08,55.37,262.41,1.024,17.25,0.203,,Sq,409,1.12,28.67,1.45,0.7,14.9,
2002 NY40,2002 NY40,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.05,0.7079,5.89,145.31,269.85,138.68,0.544,19,,,,1070,2.93,20.84,3.5,0.6,19.98,
2012 YO3,2012 YO3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.441,0.6722,3.6,30.97,351.4,97.76,0.197,21.2,,,,1390,3.81,19.1,4.08,0.8,,
2013 GZ73,2013 GZ73,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.371,0.6174,7.34,116.77,340.22,129.51,0.519,19.1,,,,1330,3.64,19.39,3.83,0.91,,
2013 FW13,2013 FW13,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.12,0.3619,23.41,175.82,272.33,50.54,0.157,21.7,,,,433,1.19,28.14,1.53,0.71,,
2021 CF4,2021 CF4,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.53,0.7395,6.68,182.37,96.44,31.41,0.16,21.66,,,,691,1.89,24.09,2.66,0.4,,
269690 (1996 RG3),269690,1996 RG3,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,2.002,0.6038,3.58,158.08,300.24,238.24,0.888,18.4,0.098,,,1030,2.82,21.15,3.21,0.79,,
2001 KF54,2001 KF54,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.339,0.6504,1.63,172.47,170.86,192,0.328,20.1,,,,1310,3.59,19.42,3.86,0.82,,
1998 SY14,1998 SY14,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.834,0.6698,3.47,39.68,22.51,262.58,0.26,20.6,,,,1740,4.77,17.72,4.73,0.94,,
2016 CO247,2016 CO247,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.419,0.5132,18.36,292.22,90.28,133.48,0.258,20.62,,,,618,1.69,24.98,2.15,0.69,,
226554 (2003 WR21),226554,2003 WR21,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building ,తిరుమల కొండ అంత ,1,1,2459396.5,1.118,0.2614,9.27,85.83,107.98,199.84,0.482,19.5,0.125,,,432,1.18,28.15,1.41,0.83,,
2000 LF3,2000 LF3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.592,0.6551,14.61,81.92,224.24,11.02,0.164,21.6,,,,1520,4.16,18.55,4.29,0.89,1,
137108 (1999 AN10),137108,1999 AN10,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.459,0.562,39.93,314.38,268.32,223.36,0.827,18.09,,,,643,1.76,24.69,2.28,0.64,5.04,
265196 (2004 BW58),265196,2004 BW58,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building ,తిరుమల కొండ అంత ,1,1,2459396.5,1.455,0.3785,15.21,132.63,301.84,11.91,0.361,18.77,0.31,,,641,1.76,24.69,2.01,0.9,6.48,
2008 MP1,2008 MP1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2454650.5,1.89,0.565,3.78,105.51,243.36,339.97,0.143,21.9,,,,949,2.6,21.67,2.96,0.82,,
2019 MS3,2019 MS3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.632,0.7199,8.61,139.03,231.48,142.9,0.299,20.3,,,,1560,4.27,18.35,4.53,0.74,,
2016 JU33,2016 JU33,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller ,బస్సు అంత ,1,1,2459396.5,1.827,0.5345,3.89,293.37,223.51,50.93,0.174,20.95,0.304,,,902,2.47,22.04,2.8,0.85,,
2020 FH2,2020 FH2,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.816,0.4935,7.99,55.72,51.82,212.18,0.207,21.1,,,,894,2.45,22.1,2.71,0.92,,
2015 XE352,2015 XE352,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.336,0.389,2.05,45.25,225.54,356.24,0.309,20.94,,,,564,1.55,25.77,1.86,0.82,6.92,
2004 TB10,2004 TB10,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.103,0.0938,22.5,12.83,149.87,11.13,0.18,21.4,,,,423,1.16,28.37,1.21,1,,
2005 JU81,2005 JU81,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.116,0.2775,17.29,56.32,72.49,314.15,0.15,21.8,,,,431,1.18,28.17,1.43,0.81,,
2017 BC136,2017 BC136,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2457781.5,1.682,0.6202,20.36,261.05,96.63,42.6,0.287,20.39,,,,797,2.18,22.96,2.73,0.64,,
2013 GH84,2013 GH84,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.565,0.3713,14.9,53.36,186.44,60.17,0.249,20.7,,,,715,1.96,23.81,2.15,0.98,,
68548 (2001 XR31),68548,2001 XR31,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon ,తెలంగాణ సచివాలయం అంత ,1,1,2459396.5,1.707,0.4367,22.72,302.05,24.7,14.39,1.182,16.53,0.289,,,814,2.23,22.81,2.45,0.96,,
2005 WY55,2005 WY55,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.489,0.7203,7.27,248.19,286.17,329.98,0.249,20.7,,,,1430,3.92,18.94,4.28,0.7,,
2020 XU6,2020 XU6,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.212,0.5512,3.9,164.42,6.3,34.64,0.213,21.04,,,,1200,3.29,20.05,3.43,0.99,,
11500 Tomaiyowit (1989 UR),11500 తోమియోవైట్,1989 UR,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,1.08,0.3559,10.31,234.42,289.47,346.11,0.738,18.32,0.142,,S,410,1.12,28.66,1.46,0.7,73,
2016 BT39,2016 BT39,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.969,0.538,8.96,174.98,203.14,10.76,0.394,19.7,,,,1010,2.77,21.21,3.03,0.91,,
2012 TF53,2012 TF53,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.426,0.3691,6.13,201.06,282.41,340,0.274,21.2,,,,622,1.7,24.94,1.95,0.9,,
2006 CF,2006 CF,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.293,0.679,4.66,112.06,268.6,193.17,0.299,20.3,,,,1270,3.48,19.64,3.85,0.74,,
2006 RK1,2006 RK1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.95,0.5172,9.57,153.74,131.91,175.38,0.15,21.8,,,,994,2.72,21.34,2.96,0.94,,
523816 (2009 ST103),523816,2009 ST103,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,2.697,0.719,15.75,226.62,234.58,218.71,0.851,18.1,0.141,,,1620,4.44,18.11,4.64,0.76,,
2013 WR67,2013 WR67,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.552,0.7165,4.94,263.44,74.98,321.24,0.137,22,,,,1490,4.08,18.63,4.38,0.72,,
2009 FF,2009 FF,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.474,0.4681,0.98,265.88,11.05,262.72,0.15,21.8,,,,654,1.79,24.52,2.16,0.78,,
2007 YB2,2007 YB2,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,3.083,0.691,16.5,330.64,213.8,164.47,0.786,18.2,,,,1980,5.42,16.94,5.21,0.95,,
2016 RN1,2016 RN1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.31,0.2751,25.29,188.61,20.47,177.59,0.217,21,,,,548,1.5,26.01,1.67,0.95,,
2006 UO,2006 UO,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.823,0.6676,2.29,25.65,78.16,21.35,0.197,21.2,,,,1730,4.74,17.75,4.71,0.94,,
