Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
380981 (2006 SU131),380981,2006 SU131,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.727,0.3952,9.66,107.4,167.75,238.08,0.599,18.79,,,,829,2.27,22.66,2.41,1.04,4.92,
576763 (2012 UR136),576763,2012 UR136,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.917,0.4602,6.06,87.53,202.79,151.22,0.496,19.2,,,,969,2.65,21.52,2.8,1.03,,
2013 XN24,2013 XN24,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.69,0.6212,13.95,279.24,173.02,261.78,0.474,19.3,,,,1610,4.41,18.18,4.36,1.02,,
2017 LU,2017 LU,,Small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.632,0.6016,9.94,308.54,357.7,336.45,0.669,18.55,,,,1560,4.27,18.35,4.22,1.05,,
2015 RR150,2015 RR150,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building ,తిరుమల కొండ అంత ,1,1,2459396.5,2.038,0.4984,42.16,174.22,167.29,5.51,0.343,19.7,0.198,,,1060,2.9,20.92,3.05,1.02,,
481327 (2006 BB27),481327,2006 BB27,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field ,క్రికెట్ మైదానం అంత ,1,1,2459396.5,1.362,0.2457,27.16,132.19,144.66,140.41,0.216,20,0.378,,,581,1.59,25.5,1.7,1.03,,
2020 RG,2020 RG,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.761,0.4102,14.12,324.65,337.63,147.07,0.232,20.85,,,,854,2.34,22.43,2.48,1.04,,
200840 (2001 XN254),200840,2001 XN254,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.324,0.5591,1.94,264.34,278.41,156.78,1.1,17.47,,,S,1290,3.53,19.6,3.62,1.02,,
2004 PS42,2004 PS42,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.242,0.1673,23.19,304.32,323.42,105.15,0.189,21.3,,,,505,1.38,26.76,1.45,1.03,,
2012 OO,2012 OO,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.696,0.3836,4.84,160.9,179.87,0.82,0.26,20.6,,,,807,2.21,22.86,2.35,1.05,,
